tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1346,1/1/2015 0:01,1/1/2015 0:24,455,1 Ave & E 44 St,40.75001986,-73.96905301,265,Stanton St & Chrystie St,40.72229346,-73.99147535,18660,Subscriber,1960.0,2
363,1/1/2015 0:02,1/1/2015 0:08,434,9 Ave & W 18 St,40.74317449,-74.00366443,482,W 15 St & 7 Ave,40.73935542,-73.99931783,16085,Subscriber,1963.0,1
346,1/1/2015 0:04,1/1/2015 0:10,491,E 24 St & Park Ave S,40.74096374,-73.98602213,505,6 Ave & W 33 St,40.74901271,-73.98848395,20845,Subscriber,1974.0,1
182,1/1/2015 0:04,1/1/2015 0:07,384,Fulton St & Waverly Ave,40.68317813,-73.9659641,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,19610,Subscriber,1969.0,1
969,1/1/2015 0:05,1/1/2015 0:21,474,5 Ave & E 29 St,40.7451677,-73.98683077,432,E 7 St & Avenue A,40.72621788,-73.98379855,20197,Subscriber,1977.0,1
496,1/1/2015 0:07,1/1/2015 0:15,512,W 29 St & 9 Ave,40.7500727,-73.99839279,383,Greenwich Ave & Charles St,40.735238,-74.000271,20788,Subscriber,1969.0,2
152,1/1/2015 0:07,1/1/2015 0:09,498,Broadway & W 32 St,40.74854862,-73.98808416,474,5 Ave & E 29 St,40.7451677,-73.98683077,19006,Subscriber,1972.0,1
1183,1/1/2015 0:08,1/1/2015 0:28,405,Washington St & Gansevoort St,40.739323,-74.008119,174,E 25 St & 1 Ave,40.7381765,-73.97738662,17640,Subscriber,1985.0,2
846,1/1/2015 0:09,1/1/2015 0:23,450,W 49 St & 8 Ave,40.76227205,-73.98788205,488,W 39 St & 9 Ave,40.75645824,-73.99372222,15691,Subscriber,1991.0,1
576,1/1/2015 0:10,1/1/2015 0:20,160,E 37 St & Lexington Ave,40.748238,-73.978311,174,E 25 St & 1 Ave,40.7381765,-73.97738662,17837,Subscriber,1991.0,1
540,1/1/2015 0:10,1/1/2015 0:19,291,Madison St & Montgomery St,40.713126,-73.984844,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,16947,Subscriber,1979.0,1
419,1/1/2015 0:11,1/1/2015 0:18,517,Pershing Square South,40.751581,-73.97791,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,14807,Subscriber,1980.0,1
751,1/1/2015 0:13,1/1/2015 0:25,290,2 Ave & E 58 St,40.76020258,-73.96478473,507,E 25 St & 2 Ave,40.73912601,-73.97973776,16702,Subscriber,1987.0,1
332,1/1/2015 0:13,1/1/2015 0:18,361,Allen St & Hester St,40.71605866,-73.99190759,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,17342,Subscriber,1988.0,1
1099,1/1/2015 0:14,1/1/2015 0:32,317,E 6 St & Avenue B,40.72453734,-73.98185424,2012,E 27 St & 1 Ave,40.739445,-73.976806,19909,Subscriber,1983.0,1
649,1/1/2015 0:14,1/1/2015 0:25,488,W 39 St & 9 Ave,40.75645824,-73.99372222,434,9 Ave & W 18 St,40.74317449,-74.00366443,19584,Subscriber,1979.0,1
614,1/1/2015 0:14,1/1/2015 0:24,285,Broadway & E 14 St,40.73454567,-73.99074142,312,Allen St & E Houston St,40.722055,-73.989111,19202,Subscriber,1959.0,1
1196,1/1/2015 0:16,1/1/2015 0:36,466,W 25 St & 6 Ave,40.74395411,-73.99144871,454,E 51 St & 1 Ave,40.75455731,-73.96592976,20683,Subscriber,1971.0,1
1426,1/1/2015 0:17,1/1/2015 0:40,360,William St & Pine St,40.70717936,-74.00887308,391,Clark St & Henry St,40.69760127,-73.99344559,21554,Subscriber,1977.0,1
1262,1/1/2015 0:18,1/1/2015 0:39,485,W 37 St & 5 Ave,40.75038009,-73.98338988,251,Mott St & Prince St,40.72317958,-73.99480012,16894,Subscriber,1980.0,1
707,1/1/2015 0:18,1/1/2015 0:30,449,W 52 St & 9 Ave,40.76461837,-73.98789473,509,9 Ave & W 22 St,40.7454973,-74.00197139,14598,Subscriber,1972.0,1
307,1/1/2015 0:18,1/1/2015 0:23,474,5 Ave & E 29 St,40.7451677,-73.98683077,476,E 31 St & 3 Ave,40.74394314,-73.97966069,18834,Subscriber,1962.0,1
1053,1/1/2015 0:19,1/1/2015 0:37,164,E 47 St & 2 Ave,40.75323098,-73.97032517,523,W 38 St & 8 Ave,40.75466591,-73.99138152,15617,Subscriber,1987.0,1
446,1/1/2015 0:20,1/1/2015 0:27,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,518,E 39 St & 2 Ave,40.74780373,-73.9734419,15812,Subscriber,1988.0,1
1251,1/1/2015 0:21,1/1/2015 0:41,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,19780,Customer,,0
797,1/1/2015 0:21,1/1/2015 0:35,513,W 56 St & 10 Ave,40.768254,-73.988639,488,W 39 St & 9 Ave,40.75645824,-73.99372222,16761,Subscriber,1969.0,1
503,1/1/2015 0:21,1/1/2015 0:30,243,Fulton St & Rockwell Pl,40.688226,-73.979382,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,14570,Customer,,0
1639,1/1/2015 0:22,1/1/2015 0:49,382,University Pl & E 14 St,40.73492695,-73.99200509,352,W 56 St & 6 Ave,40.76340613,-73.97722479,18320,Subscriber,1996.0,2
1175,1/1/2015 0:22,1/1/2015 0:42,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,16610,Customer,,0
470,1/1/2015 0:22,1/1/2015 0:30,243,Fulton St & Rockwell Pl,40.688226,-73.979382,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,20804,Subscriber,1986.0,1
321,1/1/2015 0:23,1/1/2015 0:29,285,Broadway & E 14 St,40.73454567,-73.99074142,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,15777,Subscriber,1986.0,1
259,1/1/2015 0:23,1/1/2015 0:27,285,Broadway & E 14 St,40.73454567,-73.99074142,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,21338,Subscriber,1986.0,1
81,1/1/2015 0:23,1/1/2015 0:24,412,Forsyth St & Canal St,40.7158155,-73.99422366,295,Pike St & E Broadway,40.71406667,-73.99293911,20781,Subscriber,1982.0,1
123,1/1/2015 0:24,1/1/2015 0:26,3002,South End Ave & Liberty St,40.711512,-74.015756,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,18088,Subscriber,1968.0,1
968,1/1/2015 0:25,1/1/2015 0:41,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,15577,Customer,,0
697,1/1/2015 0:25,1/1/2015 0:37,146,Hudson St & Reade St,40.71625008,-74.0091059,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,20295,Subscriber,1990.0,1
760,1/1/2015 0:26,1/1/2015 0:39,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,2010,Grand St & Greene St,40.72165481,-74.00234737,17342,Subscriber,1985.0,1
969,1/1/2015 0:27,1/1/2015 0:43,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,16195,Subscriber,1964.0,1
863,1/1/2015 0:27,1/1/2015 0:41,217,Old Fulton St,40.70277159,-73.99383605,313,Washington Ave & Park Ave,40.69610226,-73.96751037,15999,Customer,,0
359,1/1/2015 0:27,1/1/2015 0:33,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,392,Jay St & Tech Pl,40.695065,-73.987167,15085,Subscriber,1968.0,1
302,1/1/2015 0:27,1/1/2015 0:32,509,9 Ave & W 22 St,40.7454973,-74.00197139,512,W 29 St & 9 Ave,40.7500727,-73.99839279,17621,Subscriber,1989.0,1
267,1/1/2015 0:27,1/1/2015 0:32,150,E 2 St & Avenue C,40.7208736,-73.98085795,433,E 13 St & Avenue A,40.72955361,-73.98057249,15720,Subscriber,1990.0,1
116,1/1/2015 0:27,1/1/2015 0:29,428,E 3 St & 1 Ave,40.72467721,-73.98783413,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,15828,Subscriber,1987.0,1
1114,1/1/2015 0:28,1/1/2015 0:47,422,W 59 St & 10 Ave,40.770513,-73.988038,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16676,Subscriber,1989.0,2
348,1/1/2015 0:28,1/1/2015 0:33,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,392,Jay St & Tech Pl,40.695065,-73.987167,21439,Subscriber,1979.0,1
325,1/1/2015 0:28,1/1/2015 0:34,386,Centre St & Worth St,40.71494807,-74.00234482,250,Lafayette St & Jersey St,40.72456089,-73.99565293,17276,Subscriber,1972.0,1
199,1/1/2015 0:28,1/1/2015 0:31,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,3002,South End Ave & Liberty St,40.711512,-74.015756,18088,Subscriber,1968.0,1
420,1/1/2015 0:29,1/1/2015 0:36,536,1 Ave & E 30 St,40.74144387,-73.97536082,325,E 19 St & 3 Ave,40.73624527,-73.98473765,15864,Subscriber,1969.0,2
215,1/1/2015 0:29,1/1/2015 0:33,282,Kent Ave & S 11 St,40.70827295,-73.96834101,389,Broadway & Berry St,40.71044554,-73.96525063,17034,Subscriber,1981.0,2
623,1/1/2015 0:31,1/1/2015 0:41,285,Broadway & E 14 St,40.73454567,-73.99074142,545,E 23 St & 1 Ave,40.736502,-73.97809472,19764,Subscriber,1986.0,2
811,1/1/2015 0:32,1/1/2015 0:45,312,Allen St & E Houston St,40.722055,-73.989111,116,W 17 St & 8 Ave,40.74177603,-74.00149746,16106,Subscriber,1989.0,1
808,1/1/2015 0:32,1/1/2015 0:46,326,E 11 St & 1 Ave,40.72953837,-73.98426726,404,9 Ave & W 14 St,40.7405826,-74.00550867,19296,Subscriber,1971.0,1
527,1/1/2015 0:32,1/1/2015 0:40,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,261,Johnson St & Gold St,40.69474881,-73.98362464,17898,Subscriber,1980.0,1
486,1/1/2015 0:32,1/1/2015 0:40,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,261,Johnson St & Gold St,40.69474881,-73.98362464,20782,Subscriber,1982.0,2
232,1/1/2015 0:32,1/1/2015 0:36,293,Lafayette St & E 8 St,40.73028666,-73.9907647,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,19506,Subscriber,1993.0,1
1111,1/1/2015 0:33,1/1/2015 0:52,512,W 29 St & 9 Ave,40.7500727,-73.99839279,285,Broadway & E 14 St,40.73454567,-73.99074142,20084,Subscriber,1973.0,1
409,1/1/2015 0:34,1/1/2015 0:41,168,W 18 St & 6 Ave,40.73971301,-73.99456405,509,9 Ave & W 22 St,40.7454973,-74.00197139,19078,Subscriber,1976.0,1
1929,1/1/2015 0:35,1/1/2015 1:07,495,W 47 St & 10 Ave,40.76269882,-73.99301222,499,Broadway & W 60 St,40.76915505,-73.98191841,14906,Subscriber,1986.0,2
1025,1/1/2015 0:35,1/1/2015 0:52,128,MacDougal St & Prince St,40.72710258,-74.00297088,128,MacDougal St & Prince St,40.72710258,-74.00297088,19469,Subscriber,1988.0,1
925,1/1/2015 0:35,1/1/2015 0:50,514,12 Ave & W 40 St,40.76087502,-74.00277668,426,West St & Chambers St,40.71754834,-74.01322069,17732,Subscriber,1969.0,1
840,1/1/2015 0:35,1/1/2015 0:49,489,10 Ave & W 28 St,40.75066386,-74.00176802,519,Pershing Square North,40.751873,-73.977706,17061,Subscriber,1985.0,1
598,1/1/2015 0:35,1/1/2015 0:45,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,18029,Subscriber,1988.0,1
583,1/1/2015 0:35,1/1/2015 0:45,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,16751,Subscriber,1988.0,2
297,1/1/2015 0:35,1/1/2015 0:40,470,W 20 St & 8 Ave,40.74345335,-74.00004031,489,10 Ave & W 28 St,40.75066386,-74.00176802,21012,Subscriber,1957.0,1
280,1/1/2015 0:36,1/1/2015 0:41,403,E 2 St & 2 Ave,40.72502876,-73.99069656,531,Forsyth St & Broome St,40.71893904,-73.99266288,17587,Subscriber,1968.0,1
989,1/1/2015 0:37,1/1/2015 0:54,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,17599,Subscriber,1981.0,1
354,1/1/2015 0:37,1/1/2015 0:43,334,W 20 St & 7 Ave,40.74238787,-73.99726235,494,W 26 St & 8 Ave,40.74734825,-73.99723551,15596,Subscriber,1954.0,2
1770,1/1/2015 0:38,1/1/2015 1:07,495,W 47 St & 10 Ave,40.76269882,-73.99301222,499,Broadway & W 60 St,40.76915505,-73.98191841,19605,Customer,,0
326,1/1/2015 0:38,1/1/2015 0:43,334,W 20 St & 7 Ave,40.74238787,-73.99726235,494,W 26 St & 8 Ave,40.74734825,-73.99723551,14541,Subscriber,1936.0,1
485,1/1/2015 0:39,1/1/2015 0:47,521,8 Ave & W 31 St,40.75044999,-73.99481051,515,W 43 St & 10 Ave,40.76009437,-73.99461843,18718,Subscriber,1968.0,1
126,1/1/2015 0:39,1/1/2015 0:41,480,W 53 St & 10 Ave,40.76669671,-73.99061728,449,W 52 St & 9 Ave,40.76461837,-73.98789473,18082,Subscriber,1986.0,1
249,1/1/2015 0:40,1/1/2015 0:44,368,Carmine St & 6 Ave,40.73038599,-74.00214988,358,Christopher St & Greenwich St,40.73291553,-74.00711384,18666,Subscriber,1974.0,1
3398,1/1/2015 0:41,1/1/2015 1:38,479,9 Ave & W 45 St,40.76019252,-73.9912551,147,Greenwich St & Warren St,40.71542197,-74.01121978,14802,Customer,,0
3443,1/1/2015 0:42,1/1/2015 1:39,479,9 Ave & W 45 St,40.76019252,-73.9912551,147,Greenwich St & Warren St,40.71542197,-74.01121978,21146,Customer,,0
1446,1/1/2015 0:42,1/1/2015 1:06,82,St James Pl & Pearl St,40.71117416,-74.00016545,394,E 9 St & Avenue C,40.72521311,-73.97768752,15937,Subscriber,1989.0,1
241,1/1/2015 0:42,1/1/2015 0:46,524,W 43 St & 6 Ave,40.75527307,-73.98316936,485,W 37 St & 5 Ave,40.75038009,-73.98338988,17805,Subscriber,1979.0,1
2889,1/1/2015 0:43,1/1/2015 1:32,467,Dean St & 4 Ave,40.68312489,-73.97895137,387,Centre St & Chambers St,40.71273266,-74.0046073,18039,Customer,,0
692,1/1/2015 0:43,1/1/2015 0:55,212,W 16 St & The High Line,40.74334935,-74.00681753,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,18777,Subscriber,1979.0,1
487,1/1/2015 0:43,1/1/2015 0:51,518,E 39 St & 2 Ave,40.74780373,-73.9734419,2003,1 Ave & E 18 St,40.73416059,-73.98024289,15456,Subscriber,1989.0,2
365,1/1/2015 0:43,1/1/2015 0:49,496,E 16 St & 5 Ave,40.73726186,-73.99238967,383,Greenwich Ave & Charles St,40.735238,-74.000271,19245,Subscriber,1976.0,1
2850,1/1/2015 0:44,1/1/2015 1:32,467,Dean St & 4 Ave,40.68312489,-73.97895137,387,Centre St & Chambers St,40.71273266,-74.0046073,21321,Customer,,0
913,1/1/2015 0:44,1/1/2015 1:00,402,Broadway & E 22 St,40.7403432,-73.98955109,473,Rivington St & Chrystie St,40.72110063,-73.9919254,16242,Subscriber,1989.0,1
240,1/1/2015 0:44,1/1/2015 0:48,480,W 53 St & 10 Ave,40.76669671,-73.99061728,530,11 Ave & W 59 St,40.771522,-73.990541,17801,Subscriber,1985.0,1
203,1/1/2015 0:44,1/1/2015 0:47,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,229,Great Jones St,40.72743423,-73.99379025,16947,Subscriber,1979.0,1
2811,1/1/2015 0:46,1/1/2015 1:33,406,Hicks St & Montague St,40.69512845,-73.99595065,441,E 52 St & 2 Ave,40.756014,-73.967416,14726,Subscriber,1985.0,1
1058,1/1/2015 0:46,1/1/2015 1:04,499,Broadway & W 60 St,40.76915505,-73.98191841,160,E 37 St & Lexington Ave,40.748238,-73.978311,21113,Subscriber,1986.0,2
1020,1/1/2015 0:46,1/1/2015 1:03,499,Broadway & W 60 St,40.76915505,-73.98191841,160,E 37 St & Lexington Ave,40.748238,-73.978311,14709,Subscriber,1986.0,2
376,1/1/2015 0:46,1/1/2015 0:52,312,Allen St & E Houston St,40.722055,-73.989111,502,Henry St & Grand St,40.714215,-73.981346,18878,Subscriber,1970.0,1
336,1/1/2015 0:46,1/1/2015 0:51,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,509,9 Ave & W 22 St,40.7454973,-74.00197139,16606,Subscriber,1965.0,1
306,1/1/2015 0:46,1/1/2015 0:51,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,14633,Subscriber,1979.0,2
599,1/1/2015 0:47,1/1/2015 0:57,168,W 18 St & 6 Ave,40.73971301,-73.99456405,439,E 4 St & 2 Ave,40.7262807,-73.98978041,20188,Subscriber,1976.0,2
255,1/1/2015 0:47,1/1/2015 0:51,449,W 52 St & 9 Ave,40.76461837,-73.98789473,495,W 47 St & 10 Ave,40.76269882,-73.99301222,18155,Subscriber,1968.0,1
232,1/1/2015 0:47,1/1/2015 0:51,449,W 52 St & 9 Ave,40.76461837,-73.98789473,495,W 47 St & 10 Ave,40.76269882,-73.99301222,18082,Subscriber,1966.0,1
852,1/1/2015 0:48,1/1/2015 1:03,362,Broadway & W 37 St,40.75172632,-73.98753523,509,9 Ave & W 22 St,40.7454973,-74.00197139,17988,Subscriber,1965.0,1
326,1/1/2015 0:48,1/1/2015 0:54,293,Lafayette St & E 8 St,40.73028666,-73.9907647,403,E 2 St & 2 Ave,40.72502876,-73.99069656,14686,Subscriber,1969.0,2
1593,1/1/2015 0:49,1/1/2015 1:15,497,E 17 St & Broadway,40.73704984,-73.99009296,521,8 Ave & W 31 St,40.75044999,-73.99481051,20786,Subscriber,1971.0,1
265,1/1/2015 0:49,1/1/2015 0:53,509,9 Ave & W 22 St,40.7454973,-74.00197139,482,W 15 St & 7 Ave,40.73935542,-73.99931783,15365,Subscriber,1956.0,1
243,1/1/2015 0:49,1/1/2015 0:53,2004,6 Ave & Broome St,40.724399,-74.004704,348,W Broadway & Spring St,40.72490985,-74.00154702,17398,Subscriber,1955.0,1
107,1/1/2015 0:49,1/1/2015 0:51,212,W 16 St & The High Line,40.74334935,-74.00681753,463,9 Ave & W 16 St,40.74206539,-74.00443172,18892,Subscriber,1980.0,1
536,1/1/2015 0:51,1/1/2015 1:00,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,525,W 34 St & 11 Ave,40.75594159,-74.0021163,16101,Subscriber,1971.0,1
